Alder;mu
0;0,00333405472623545000000000
1;0,00012225828331439400000000
2;0,00010905857461595300000000
3;0,00009131752579540440000000
4;0,00007887914371324170000000
5;0,00007133988152508960000000
6;0,00006349098737391500000000
7;0,00005847813088171290000000
8;0,00005677122595754640000000
9;0,00005762992210949370000000
10;0,00005980206483205950000000
11;0,00006334479680915360000000
12;0,00006586528238375610000000
13;0,00006621428890787290000000
14;0,00006712113489547400000000
15;0,00006980950462963030000000
16;0,00007733709231240920000000
17;0,00008874581927013460000000
18;0,00010289424648755400000000
19;0,00011855390821349700000000
20;0,00013192149807504800000000
21;0,00014462393016122400000000
22;0,00016320232614365400000000
23;0,00017360627681774000000000
24;0,00017974763425707400000000
25;0,00018087358152661300000000
26;0,00016800645422543500000000
27;0,00014990696302667700000000
28;0,00013852100594512000000000
29;0,00013106959566713200000000
30;0,00013394267326391100000000
31;0,00015415176979442300000000
32;0,00018141938602303500000000
33;0,00021026551611134200000000
34;0,00024503122708019000000000
35;0,00027200959262848400000000
36;0,00029453253588332700000000
37;0,00031420035113539500000000
38;0,00034353913012933200000000
39;0,00037862261892192700000000
40;0,00042695100859035600000000
41;0,00048122601562247100000000
42;0,00053731077590233700000000
43;0,00058696225776998200000000
44;0,00063054243064176200000000
45;0,00069329071654337600000000
46;0,00076968111361806000000000
47;0,00086648646221139600000000
48;0,00098856346577555000000000
49;0,00112181457423990000000000
50;0,00126017670204054000000000
51;0,00140480373012421000000000
52;0,00155133519478147000000000
53;0,00170315467329739000000000
54;0,00188141520850724000000000
55;0,00207983602723447000000000
56;0,00234293650325757000000000
57;0,00265602032938606000000000
58;0,00300763721203476000000000
59;0,00338617893421667000000000
60;0,00378918172148427000000000
61;0,00419649207583643000000000
62;0,00463954778867905000000000
63;0,00521145808757826000000000
64;0,00587610647645612000000000
65;0,00665991990414061000000000
66;0,00749207591043000000000000
67;0,00835524047598888000000000
68;0,00919497765002563000000000
69;0,01003727616080870000000000
70;0,01090226522136470000000000
71;0,01181074293176720000000000
72;0,01287670488795940000000000
73;0,01420100975269470000000000
74;0,01574010402134310000000000
75;0,01745417771396160000000000
76;0,01949876654522780000000000
77;0,02168187176348640000000000
78;0,02426741732892940000000000
79;0,02754959228808350000000000
80;0,03129197800849200000000000
81;0,03578035108342290000000000
82;0,04092365847805350000000000
83;0,04677082782094590000000000
84;0,05373167022894370000000000
85;0,06256994086375020000000000
86;0,07321500074784180000000000
87;0,08587962379876080000000000
88;0,10041504929626300000000000
89;0,11626336137645300000000000
90;0,13358122275648900000000000
91;0,15260856782666400000000000
92;0,17378926673000800000000000
93;0,19731331002846000000000000
94;0,22356848987547500000000000
95;0,25230637204262700000000000
96;0,28335260709964800000000000
97;0,31656445699356700000000000
98;0,35172376641268900000000000
99;0,38853783598267000000000000
100;0,42664567530290100000000000
101;0,46562974982976900000000000
102;0,50503264479093600000000000
103;0,54437738456994500000000000
104;0,58318960288923900000000000
105;0,62101947375062000000000000
106;0,65746134906462400000000000
107;0,69216939835658800000000000
108;0,72637770916677200000000000
109;0,75815779502177200000000000
110;0,78719529369075600000000000
