t;rt
0;0,02552
1;0,023395432
2;0,023180442
3;0,023193585
4;0,023287219
5;0,023434117
6;0,023622927
7;0,023801784
8;0,023999272
9;0,024170441
10;0,02433112
11;0,024487812
12;0,024630172
13;0,02471392
14;0,024699793
15;0,024576539
16;0,024396949
17;0,024213119
18;0,024062676
19;0,023973014
20;0,023947743
21;0,023974267
22;0,024040092
23;0,024135543
24;0,02425309
25;0,024386852
26;0,02453222
27;0,02468558
28;0,024844091
29;0,025005528
30;0,025168145
31;0,025330582
32;0,025491785
33;0,025650941
34;0,025807433
35;0,0259608
36;0,026110705
37;0,026256909
38;0,026399257
39;0,026537652
40;0,026672051
41;0,026802451
42;0,026928878
43;0,027051383
44;0,027170038
45;0,027284925
46;0,027396141
47;0,027503788
48;0,027607973
49;0,027708805
50;0,027806399
51;0,027900866
52;0,027992317
53;0,028080863
54;0,028166613
55;0,028249672
56;0,028330143
57;0,028408126
58;0,028483719
59;0,028557013
60;0,0286281
61;0,028697066
62;0,028763994
63;0,028828964
64;0,028892053
65;0,028953334
66;0,029012877
67;0,02907075
68;0,029127017
69;0,029181739
70;0,029234975
71;0,029286782
72;0,029337214
73;0,02938632
74;0,029434152
75;0,029480755
76;0,029526175
77;0,029570453
78;0,029613632
79;0,02965575
80;0,029696845
81;0,029736953
82;0,029776107
83;0,029814341
84;0,029851686
85;0,029888171
86;0,029923826
87;0,029958679
88;0,029992754
89;0,030026079
90;0,030058677
91;0,03009057
92;0,030121782
93;0,030152334
94;0,030182247
95;0,030211539
96;0,03024023
97;0,030268339
98;0,030295882
99;0,030322876
100;0,030349337
101;0,030375282
102;0,030400724
103;0,030425679
104;0,030450159
105;0,030474179
106;0,030497751
107;0,030520888
108;0,030543601
109;0,030565902
110;0,030587802
111;0,030609312
112;0,030630441
113;0,030651201
114;0,030671601
115;0,030691649
116;0,030711355
117;0,030730728
118;0,030749775
119;0,030768506
